Object,M_1e8Msun,D_A_Mpc,theta_microas,RA_hms,Dec_dms,freq_GHz,flux_Jy,ref
NGC 3227,"0.15
0.2
0.21
0.4","17
23.8
23.8
20","0.009
0.008
0.008
0.02",10 23 30.6,+19 51 54,"20
3000","0.009
18","[19];
[5]
[38]
[3]
[33]; NED"
Mrk 0142,0.02,192,0.0001,10 25 31.3,+ 51 40 35,"1.4
3000","0.0006
0.8",[3]
NGC 3245,"2.2
2.4","22.1
21.4","0.098
0.11",10 27 18.4,+ 28 30 27,"15
3000","<0.005
3.4","[19];
[5]
[38];
[3]"
NGC 3310,"<0.42
<0.05","17.4
17.4","<0.02
<0.003",10 38 45.8,+ 53 30 12,"28
38
350
670","0.023-0.026
0.016-0.017
0.36
1.3-1.4","[19]
[3]"
"NGC 3351
M95","<0.086
<0.03","8.7
9.3","<0.01
<0.003",10 43 57.7,+11 42 14,"2.3
600
857","0.053
5.3
13.7","[19]
[3]"
"NGC 3368
M 96","0.075
0.076","10.4
10.4","0.007
0.007",10 46 45.7,+ 11 49 12,"15
350
667","¡0.001
0.513
3.4","[5];
[38]
[3]"
NGC 3377,"1.1
1.9
1.8","11.7
11.7
11","0.09
0.16
0.16",10 47 42.3,+ 13 59 09,"2.3
350","0.005
<0.008","[19]
[5]
[38];
[3]"
"NGC 3379
M 105","1.2
4.6
4.2","11.7
11.7
10.7","0.10
0.39
0.39",10 47 49.6,+12 34 54,"15
350
670","<0.001
<0.011
<0.125","[19]
[5]
[38];
[3]"
NGC 3384,"0.18
0.11
0.11","11.7
11.7
11.5","0.02
0.009
0.009",10 48 16.9,+ 12 37 45,"2.4
3000","0.004
0.45","[19]
[5]
[38];
[3]"
NGC 3393,"0.33
0.16","53.6
49.2","0.006
0.003",10 48 23.4,- 25 09 43,"5
3000","0.052
3.9","[5]
[38];
[3]"
NGC 3423,<0.002,15,<0.0001,10 51 14.3,+ 05 50 24,2.4,0.016,[3]
NGC 3414,2.5,25.2,0.1,10 51 16.2,+ 27 58 30,"15
3000","0.002
<0.091","[38];
[3]"
NGC 3489,0.06,12.1,0.005,11 00 18.6,+ 13 54 04,"15
1900","<0.001
2.6","[5];
[38];
[3]"
UGC 06093,0.26,150,0.002,11 00 47.9,+ 10 43 41,138000,0.021,[3]
NGC 3516,"0.4
0.23","37
38","0.01
0.006",11 06 47.5,+ 72 34 07,"20
3000","0.005
2.3","[33]
[3]"
M 108,0.2,10-19,0.02-0.01,11 11 31.0,+ 55 40 27,"5
230","0.09
<1",[40]
NGC 3585,"3.4
3.3","21.2
20.5","0.16
0.16",11 13 17.1,- 26 45 17,"5
1900","<0.003
0.038","[19];
[5]
[38];
[3]"
NGC 3607,"1.2
1.4
1.4","19.9
22.7
22.6","0.06
0.06
0.06",11 16 54.6,+ 18 03 06,"15
1765","0.0014
2.5","[19];
[5]
[38]
[3]"
NGC 3608,"2.1
4.7
4.6","23
23
22.8","0.09
0.20
0.20",11 16 59.0,+ 18 08 53,"15
1900","<0.0015
0.094","[19]
[5]
[38];
[3]"
NGC 3621,<0.01,6.6,<0.002,11 18 16.5,- 32 48 51,"5
600
850","0.11
15
32",[3]
"SBS 1116
+ 583 A",0.03,119,0.0003,11 18 57.7,+ 58 03 24,12 500,0.02,[3]
"ULAS
J1120+0641",20,1070 (z),0.02,11 20 01.5,+06 41 24,3×108,3×10−10,[30]
"NGC 3627
M 66",0.08,10.1,0.008,11 20 14.9,+ 12 59 30,"15
230
350
600
850","0.003
0.7
1.86
14.4
9-12","[38];
[3]"
NGC 3642,<0.26,22,<0.01,11 22 17.9,+ 59 04 28,"15
3000","<0.001
4.6",[3]
NGC 3665,5.8,35,0.16,11 24 43.7,+ 38 45 46,"5
3000","0.083
5.7-6.3",[3]
Arp 151,0.04,90.3,0.0004,11 25 36.2,+ 54 22 57,1.5,0.002,[3]
NGC 3675,<0.18,12.4,<0.01,11 26 08.6,+ 43 35 09,"15
1800","<0.001
22",[3]
NGC 3706,59,46,1.3,11 29 44.4,- 36 23 29,"5
1900","0.025
<0.022",[3]
NGC 3783,"0.3
0.2","41
42","0.007
0.005",11 39 01.7,- 37 44 19,"1.6
3000","0.005
4.9","[33]
[3]"
NGC 3801,1.9,46,0.04,11 40 16.9,+ 17 43 41,"5
100","0.57
1.2",[3]
NGC 3842,"97
91","98.4
92.2","0.97
0.97",11 44 02.15,+ 19 56 59.3,"2.4
3000","0.022
1.49","[5]
[38];
[3]"
NGC 3862,2.6,85,0.03,11 45 05.0,+ 19 36 23,"22.5
43
100
300","0.029-0.215
0.020-0.172
0.174
0.087",[3]
NGC 3923,28,20.9,1.3,11 51 01.7,- 28 48 22,"5
1900","0.001
0.048","[38];
[3]"
NGC 3945,<0.09,20,<0.005,11 53 13.7,+ 60 40 32,"15
1900","0.002
2.8",[3]
NGC 3953,0.2,15,0.01,11 53 48.9,+ 52 19 36,"15
3000","<0.001
32",[3]
NGC 3982,"<0.8
<0.09","18.2
16","<0.04
<0.006",11 56 28.1,+ 55 07 31,"15
1800","<0.001
12","[19]
[3]"
NGC 3992,"<0.57
0.3","18.2
15","<0.03
0.02",11 57 36.0,+ 53 22 28,"15
3000","<0.001
10","[19]
[3]"
NGC 3998,"2.4
8.5","14.9
14.3","0.16
0.59",11 57 56.1,+ 55 27 13,"15
1500","0.06-0.2
0.5","[19];
[5]
[38];
[3]"
